0,1,2,3,4,5,6,7,8,9,10,11,12
,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,,,,2,,2,4,,,2,,
4-17.5,1,,,,,2,,,,,,
5-22.5,1,,,1,,,1,,,,,
6-27.5,,,,1,,,,,,,,
