0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obični grab - 13,Obični grab - 13,Obični grab - 13,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,,,,1,,1,1,,,1,,
4-17.5,1,,,,,1,,,,,,,,,
5-22.5,3,,1,2,1,1,,,,,,,1,,
6-27.5,,,1,,1,1,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,2,,,1,1,1,3,,,,,1,,,
9-42.5,,,,1,,,,,,,,,,,
10-47.5,,,,,,,,,,,,,,,
11-52.5,,,,,,,2,,,,,,,,
