0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,1,,,9,,,2,,,,,,1,,
4-17.5,1,,,12,,,,,,,1,,1,,
5-22.5,1,,,4,,,1,,,,,,,,
6-27.5,2,,,3,,,,,,1,,,,,
7-32.5,,,,,,,1,,,,,,,,
8-37.5,,,,,,,,,,,,,,,
9-42.5,,,,,,,,,,,,,,,
10-47.5,1,,,,,,,,,,,,,,
