0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Klen - 1,Klen - 1,Klen - 1,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,2,,,,,,,,,,,
4-17.5,,,,2,,,,,,,,,,,
5-22.5,,,,2,,,,,,,,,,,
6-27.5,1,,,,,,,,,,,,1,,
7-32.5,,,,,,,1,,,1,,,,,
8-37.5,,1,,,,,,,,1,,,,,
9-42.5,,,,,,,,,,,,,,,
10-47.5,1,,,,,,,,,,,,,,
