0,1,2,3,4,5,6,7,8,9
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični grab - 13,Obični grab - 13,Obični grab - 13
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,,,,1,1,,1,,
4-17.5,,,,,,,,,
5-22.5,2,,,1,1,,,,
6-27.5,1,,,4,,,,,
7-32.5,,,,1,1,,,,
8-37.5,1,,,1,1,,,,
9-42.5,1,,,2,,,,,
10-47.5,,,,,,,,,
11-52.5,1,,,,,,,,
