0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obični grab - 13,Obični grab - 13,Obični grab - 13,Klen - 1,Klen - 1,Klen - 1,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,,Crni grab - 29,Crni grab - 29,Crni grab - 29,Obični orah - 26,Obični orah - 26,Obični orah - 26
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,,2,4,1,,,3,,,,,,,,,3-12.5,1,,,2,,
4-17.5,,3,,,2,,3,,,1,,,,,,4-17.5,,,,1,,
5-22.5,3,2,,,,,2,,,1,,,1,,,5-22.5,3,,,,,
6-27.5,4,,,1,,,,,,,,,2,,,6-27.5,,,,,,
7-32.5,,,,1,,,,,,,,,1,,,7-32.5,,,,,,
8-37.5,,,,4,,,,,,,,,1,,,8-37.5,,,,,,
9-42.5,,,,1,,,,,,,,,,,,9-42.5,,,,,,
10-47.5,,,,1,,,,,,,,,,,,10-47.5,,,,,,
