0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,1,,,2,,,1,,,2,2,
4-17.5,,,,2,,,5,,,2,2,
5-22.5,2,,,,,,1,,,,1,
6-27.5,,,,,,,1,,,,1,
7-32.5,,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,
9-42.5,,,,2,,,,,,,,
10-47.5,1,,,,,,,,,,,
11-52.5,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,
13-62.5,,1,,,,,,,,,,
