0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,,,,7,,,2,5,1,1,,
4-17.5,1,,,,,,,2,,,,
5-22.5,2,,,,,,1,1,,,,
6-27.5,1,,,,,,,,,,,
7-32.5,4,,,,,,,,,,,
8-37.5,3,,,,,,,,,,,
9-42.5,1,,,,,,,,,,,
10-47.5,1,,,,,,,,,,,
