0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Malolisna lipa - 68,Malolisna lipa - 68,Malolisna lipa - 68,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,5,5,,1,,,,,,3,,,2,,
4-17.5,4,1,,1,,,,,,4,,,,,
5-22.5,3,,,,,,1,,,1,,,,,
6-27.5,,,,1,,,,,,2,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,,,,1,,,,,,,,,,,
9-42.5,1,,,,,,1,,,,,,,,
10-47.5,,,,1,,,,,,,,,,,
